variable,type,missing_n,missing_pct,unique_n,mean,sd,min,q1,median,q3,max,top_level,top_n,top_pct
Gender,categorical,0,0.0,2,,,,,,,,male,882,58.64
Age,numeric,0,0.0,61,48.998,17.02,20.0,34.0,49.0,62.0,80.0,,,
Race1,categorical,0,0.0,5,,,,,,,,White,1052,69.95
Education,categorical,0,0.0,5,,,,,,,,Some College,469,31.18
MaritalStatus,categorical,0,0.0,6,,,,,,,,Married,770,51.2
HHIncome,categorical,0,0.0,12,,,,,,,,more 99999,263,17.49
Poverty,numeric,0,0.0,349,2.682,1.645,0.0,1.19,2.43,4.355,5.0,,,
HomeOwn,categorical,0,0.0,3,,,,,,,,Own,961,63.9
Weight,numeric,0,0.0,645,83.893,20.456,39.1,69.1,81.8,95.6,223.0,,,
Height,numeric,0,0.0,400,170.557,9.454,141.2,163.9,170.7,177.3,200.4,,,
BMI,numeric,0,0.0,862,28.798,6.558,15.02,24.2,27.705,32.142,67.83,,,
Pulse,numeric,0,0.0,38,72.531,12.01,44.0,64.0,72.0,80.0,122.0,,,
BPSysAve,numeric,0,0.0,102,122.347,17.317,78.0,111.0,120.0,131.0,217.0,,,
BPDiaAve,numeric,0,0.0,80,70.301,12.243,19.0,63.0,71.0,78.0,116.0,,,
DirectChol,numeric,0,0.0,91,1.335,0.418,0.39,1.03,1.27,1.55,3.83,,,
TotChol,numeric,0,0.0,210,5.052,1.1,1.53,4.27,4.97,5.72,13.65,,,
Diabetes,categorical,0,0.0,2,,,,,,,,No,1301,86.5
HealthGen,categorical,0,0.0,5,,,,,,,,Good,653,43.42
PhysActive,categorical,0,0.0,2,,,,,,,,No,769,51.13
SmokeNow,categorical,0,0.0,2,,,,,,,,No,804,53.46
AlcoholYear,numeric,0,0.0,50,87.503,113.68,0.0,2.0,24.0,156.0,364.0,,,
SleepHrsNight,numeric,0,0.0,11,6.753,1.448,2.0,6.0,7.0,8.0,12.0,,,
HighBP,categorical,0,0.0,2,,,,,,,,Normal,928,61.7
