variable,level,n,pct
Gender,male,882,58.64
Gender,female,622,41.36
Race1,White,1052,69.95
Race1,Black,183,12.17
Race1,Mexican,115,7.65
Race1,Hispanic,71,4.72
Race1,Other,83,5.52
Education,8th Grade,107,7.11
Education,9 - 11th Grade,251,16.69
Education,High School,377,25.07
Education,Some College,469,31.18
Education,College Grad,300,19.95
MaritalStatus,Married,770,51.2
MaritalStatus,LivePartner,180,11.97
MaritalStatus,NeverMarried,246,16.36
MaritalStatus,Divorced,172,11.44
MaritalStatus,Separated,36,2.39
MaritalStatus,Widowed,100,6.65
HHIncome, 0-4999,32,2.13
HHIncome, 5000-9999,50,3.32
HHIncome,10000-14999,101,6.72
HHIncome,15000-19999,102,6.78
HHIncome,20000-24999,123,8.18
HHIncome,25000-34999,193,12.83
HHIncome,35000-44999,148,9.84
HHIncome,45000-54999,136,9.04
HHIncome,55000-64999,104,6.91
HHIncome,65000-74999,80,5.32
HHIncome,75000-99999,172,11.44
HHIncome,more 99999,263,17.49
HomeOwn,Own,961,63.9
HomeOwn,Rent,509,33.84
HomeOwn,Other,34,2.26
Diabetes,No,1301,86.5
Diabetes,Yes,203,13.5
HealthGen,Poor,53,3.52
HealthGen,Fair,261,17.35
HealthGen,Good,653,43.42
HealthGen,Vgood,427,28.39
HealthGen,Excellent,110,7.31
PhysActive,Yes,735,48.87
PhysActive,No,769,51.13
SmokeNow,Yes,700,46.54
SmokeNow,No,804,53.46
HighBP,Normal,928,61.7
HighBP,High,576,38.3
