variable,count,mean,std,min,q1,median,q3,max
Age,1504.0,48.998,17.02,20.0,34.0,49.0,62.0,80.0
Poverty,1504.0,2.682,1.645,0.0,1.19,2.43,4.355,5.0
Weight,1504.0,83.893,20.456,39.1,69.1,81.8,95.6,223.0
Height,1504.0,170.557,9.454,141.2,163.9,170.7,177.3,200.4
BMI,1504.0,28.798,6.558,15.02,24.2,27.705,32.142,67.83
Pulse,1504.0,72.531,12.01,44.0,64.0,72.0,80.0,122.0
BPSysAve,1504.0,122.347,17.317,78.0,111.0,120.0,131.0,217.0
BPDiaAve,1504.0,70.301,12.243,19.0,63.0,71.0,78.0,116.0
DirectChol,1504.0,1.335,0.418,0.39,1.03,1.27,1.55,3.83
TotChol,1504.0,5.052,1.1,1.53,4.27,4.97,5.72,13.65
AlcoholYear,1504.0,87.503,113.68,0.0,2.0,24.0,156.0,364.0
SleepHrsNight,1504.0,6.753,1.448,2.0,6.0,7.0,8.0,12.0
