metric,All,White,Black
n,"1,504","1,052",183
Age median [IQR],"49.00 [34.00, 62.00]","51.00 [36.75, 64.00]","48.00 [32.00, 60.00]"
BMI median [IQR],"27.70 [24.20, 32.14]","27.45 [24.00, 31.91]","28.60 [24.52, 34.65]"
BPSysAve median [IQR],"120.00 [111.00, 131.00]","120.00 [111.00, 131.00]","123.00 [112.00, 134.00]"
BPDiaAve median [IQR],"71.00 [63.00, 78.00]","71.00 [63.00, 78.00]","72.00 [64.00, 79.50]"
TotChol median [IQR],"4.97 [4.27, 5.72]","5.04 [4.29, 5.77]","4.63 [4.03, 5.46]"
Poverty median [IQR],"2.43 [1.19, 4.35]","2.76 [1.31, 4.79]","1.79 [1.02, 3.45]"
Diabetes Yes (%),13.5,12.3,18.6
HighBP High (%),38.3,38.1,44.3
College graduate (%),19.9,22.9,8.7
Household income $75k+ (%),28.9,32.5,18.6
Physically active Yes (%),48.9,49.1,47.5
Smoke now Yes (%),46.5,42.2,60.7
