race,feature,coefficient,odds_ratio,absolute_coefficient,absolute_coefficient_rank
Black,Age,1.3896,4.0133,1.3896,1
Black,Gender_male,0.7337,2.0827,0.7337,2
Black,BMI,0.7239,2.0624,0.7239,3
Black,HighBP_High,0.4707,1.6011,0.4707,4
Black,DirectChol,0.4083,1.5043,0.4083,5
Black,TotChol,-0.307,0.7357,0.307,6
Black,Poverty,-0.1786,0.8365,0.1786,7
Black,PhysActive_Yes,-0.1762,0.8384,0.1762,8
Black,SmokeNow_Yes,0.0624,1.0644,0.0624,9
White,Age,0.7608,2.14,0.7608,1
White,BMI,0.5147,1.6732,0.5147,2
White,HighBP_High,0.3784,1.4599,0.3784,3
White,DirectChol,-0.3223,0.7245,0.3223,4
White,TotChol,-0.26,0.771,0.26,5
White,PhysActive_Yes,-0.2553,0.7747,0.2553,6
White,SmokeNow_Yes,-0.2416,0.7854,0.2416,7
White,Poverty,-0.1573,0.8544,0.1573,8
White,Gender_male,0.0196,1.0198,0.0196,9
