,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Age,-0.08,0.441,0.129,0.524,-0.1,-0.06,-0.088,0.055,0.438,0.049,-0.539,-0.003
Poverty,-0.106,0.258,0.485,-0.05,0.233,-0.27,0.291,0.627,-0.073,-0.156,0.224,-0.007
Weight,0.6,0.116,0.216,0.003,0.134,-0.11,-0.078,-0.129,-0.071,0.189,0.004,0.697
Height,0.202,0.046,0.471,-0.486,-0.268,0.194,0.11,-0.109,0.336,0.386,-0.043,-0.321
BMI,0.552,0.096,-0.002,0.244,0.281,-0.214,-0.147,-0.095,-0.244,0.009,0.024,-0.641
Pulse,0.173,0.035,-0.431,-0.264,0.396,0.166,-0.301,0.459,0.465,0.104,0.036,0.0
BPSysAve,0.039,0.542,-0.169,0.165,-0.418,0.176,-0.155,0.017,-0.008,0.074,0.643,-0.003
BPDiaAve,0.167,0.4,-0.273,-0.371,-0.238,0.148,0.143,0.212,-0.451,-0.152,-0.479,-0.002
DirectChol,-0.417,0.202,-0.038,-0.105,0.219,-0.234,-0.24,-0.043,-0.325,0.708,-0.064,-0.001
TotChol,-0.037,0.334,-0.312,-0.17,0.273,-0.286,0.585,-0.424,0.269,-0.033,0.097,-0.001
AlcoholYear,-0.194,0.301,0.271,-0.329,0.233,0.017,-0.524,-0.347,0.022,-0.49,-0.001,0.004
SleepHrsNight,-0.068,0.125,0.14,0.213,0.45,0.782,0.241,-0.098,-0.163,0.084,0.009,-0.0
