,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Age,-0.151,0.545,-0.116,0.229,-0.031,0.116,-0.02,-0.338,0.367,0.173,-0.566,-0.002
Poverty,-0.114,0.111,0.003,0.458,0.556,-0.287,-0.522,0.299,0.006,-0.096,0.048,-0.015
Weight,0.577,0.029,0.01,0.199,0.289,0.117,0.181,-0.171,-0.025,0.014,0.041,0.682
Height,-0.001,-0.294,0.348,0.52,0.009,-0.087,0.456,-0.091,0.429,-0.186,0.098,-0.263
BMI,0.577,0.132,-0.115,-0.008,0.274,0.143,0.019,-0.151,-0.209,0.096,-0.006,-0.682
Pulse,0.277,0.103,0.266,-0.486,0.069,-0.03,-0.295,0.072,0.691,-0.072,0.158,-0.011
BPSysAve,-0.087,0.581,0.176,0.126,-0.185,-0.158,0.052,-0.214,-0.112,0.161,0.679,-0.0
BPDiaAve,0.148,0.233,0.558,-0.071,-0.162,-0.228,-0.056,-0.048,-0.346,-0.528,-0.352,0.007
DirectChol,-0.355,-0.02,0.103,-0.103,0.365,0.613,-0.088,-0.372,-0.06,-0.402,0.182,-0.005
TotChol,-0.183,0.305,0.231,-0.233,0.415,0.103,0.534,0.504,-0.046,0.179,-0.096,-0.001
AlcoholYear,-0.136,-0.299,0.477,-0.129,0.24,-0.195,-0.134,-0.405,-0.135,0.581,-0.119,0.015
SleepHrsNight,-0.121,0.014,-0.382,-0.299,0.322,-0.6,0.286,-0.355,0.053,-0.274,0.015,0.004
