,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Age,-0.034,0.449,-0.232,-0.469,-0.11,-0.065,-0.109,0.062,0.445,0.083,-0.534,-0.003
Poverty,-0.08,0.294,-0.391,0.254,0.223,-0.311,0.129,0.674,-0.001,-0.158,0.219,-0.005
Weight,0.609,0.103,-0.188,0.051,0.115,-0.085,-0.055,-0.114,-0.12,0.204,-0.003,0.699
Height,0.24,0.036,-0.252,0.622,-0.284,0.14,0.046,-0.105,0.327,0.392,-0.067,-0.336
BMI,0.545,0.087,-0.073,-0.274,0.283,-0.17,-0.092,-0.081,-0.3,0.018,0.038,-0.632
Pulse,0.138,-0.034,0.434,0.095,0.474,0.285,-0.454,0.325,0.39,0.112,0.031,0.003
BPSysAve,0.072,0.506,0.201,-0.191,-0.461,0.155,-0.149,0.046,0.001,0.089,0.627,-0.001
BPDiaAve,0.175,0.335,0.448,0.282,-0.216,0.122,0.121,0.242,-0.387,-0.215,-0.495,-0.008
DirectChol,-0.424,0.237,0.075,0.072,0.208,-0.172,-0.166,-0.063,-0.392,0.699,-0.083,-0.001
TotChol,0.024,0.288,0.404,0.081,0.292,-0.34,0.561,-0.314,0.346,0.007,0.114,0.002
AlcoholYear,-0.17,0.383,-0.189,0.315,0.219,0.059,-0.426,-0.492,-0.038,-0.461,0.013,0.003
SleepHrsNight,-0.057,0.192,-0.234,-0.122,0.323,0.758,0.437,-0.017,-0.118,0.069,0.036,-0.003
