subset,variable,communality_baseline,communality_drop_zero,communality_delta
All,Age,0.7597475138738738,0.7390828198138932,-0.020664694059980615
All,Poverty,0.07205093659723272,0.07373803198008178,0.0016870953828490576
All,Weight,0.9962157892897752,0.9962182684161448,2.4791263696366528e-06
All,Height,0.9827205544184484,0.9826821311279225,-3.8423290525946285e-05
All,BMI,0.9955087838568649,0.9955194108378883,1.0626981023387216e-05
All,Pulse,0.09070247174324775,0.10134035556142673,0.010637883818178984
All,BPSysAve,0.3984757823919418,0.40961602266288355,0.011140240270941737
All,BPDiaAve,0.6856983255809149,0.7163895538844175,0.03069122830350257
All,DirectChol,0.17047502968282746,0.17101115121566823,0.000536121532840772
All,TotChol,0.0865658876308566,0.08262377587609948,-0.003942111754757116
All,AlcoholYear,0.06395035169537944,0.06381288117956219,-0.00013747051581725067
All,SleepHrsNight,0.018091133959423633,0.02119414596243807,0.003103012003014438
White,Age,0.7257136696133984,0.7050365463922563,-0.020677123221142124
White,Poverty,0.0700256778387266,0.07161187498169719,0.0015861971429705912
White,Weight,0.9966051697166772,0.9966294371686102,2.4267451932957762e-05
White,Height,0.9844726786290563,0.9843010949620066,-0.00017158366704972394
White,BMI,0.9959484417496054,0.9959923343861049,4.3892636499509585e-05
White,Pulse,0.07646457842699128,0.08451582964006787,0.008051251213076593
White,BPSysAve,0.3896680323197379,0.41057719784021507,0.02090916552047717
White,BPDiaAve,0.7628086131520836,0.797474584454441,0.03466597130235738
White,DirectChol,0.19703573779731498,0.19759750419214583,0.0005617663948308538
White,TotChol,0.09406313117457843,0.08857014794308715,-0.005492983231491277
White,AlcoholYear,0.08461357149111448,0.08504974815101529,0.000436176659900811
White,SleepHrsNight,0.028094292110087515,0.0319221033913919,0.003827811281304383
Black,Age,0.5727945432780059,0.5873240988400128,0.014529555562006857
Black,Poverty,0.07837227019254134,0.07797011802211595,-0.000402152170425385
Black,Weight,0.9956660326494767,0.9956485961044378,-1.743654503894021e-05
Black,Height,0.9729959876819565,0.9729824794697758,-1.3508212180712853e-05
Black,BMI,0.9954839173431057,0.995426659523128,-5.7257819977674096e-05
Black,Pulse,0.16974680418212584,0.21382207603531422,0.04407527185318838
Black,BPSysAve,0.6473132100694269,0.6061396752161853,-0.0411735348532416
Black,BPDiaAve,0.6215534835151039,0.6657073153526345,0.04415383183753063
Black,DirectChol,0.09408567302644066,0.10041431824760538,0.006328645221164719
Black,TotChol,0.09805595092303054,0.1012214927766606,0.0031655418536300495
Black,AlcoholYear,0.25753423139575116,0.2512981761583519,-0.0062360552373992295
Black,SleepHrsNight,0.10289267078167319,0.11643878080533354,0.013546110023660352
