subset,variable,communality_baseline,communality_drop_zero,communality_delta
Black,BPDiaAve,0.6215534835151039,0.6657073153526345,0.04415383183753063
Black,Pulse,0.16974680418212584,0.21382207603531422,0.04407527185318838
Black,BPSysAve,0.6473132100694269,0.6061396752161853,-0.0411735348532416
White,BPDiaAve,0.7628086131520836,0.797474584454441,0.03466597130235738
All,BPDiaAve,0.6856983255809149,0.7163895538844175,0.03069122830350257
White,BPSysAve,0.3896680323197379,0.41057719784021507,0.02090916552047717
White,Age,0.7257136696133984,0.7050365463922563,-0.020677123221142124
All,Age,0.7597475138738738,0.7390828198138932,-0.020664694059980615
Black,Age,0.5727945432780059,0.5873240988400128,0.014529555562006857
Black,SleepHrsNight,0.10289267078167319,0.11643878080533354,0.013546110023660352
