analysis,race,k,cost
baseline,White,2,3642.0
baseline,White,3,3328.0
baseline,White,4,3130.0
baseline,White,5,3021.0
baseline,White,6,2899.0
baseline,Black,2,662.0
baseline,Black,3,607.0
baseline,Black,4,564.0
baseline,Black,5,533.0
baseline,Black,6,513.0
drop_bpdiaave_zero,White,2,3608.0
drop_bpdiaave_zero,White,3,3368.0
drop_bpdiaave_zero,White,4,3129.0
drop_bpdiaave_zero,White,5,2997.0
drop_bpdiaave_zero,White,6,2903.0
drop_bpdiaave_zero,Black,2,659.0
drop_bpdiaave_zero,Black,3,598.0
drop_bpdiaave_zero,Black,4,567.0
drop_bpdiaave_zero,Black,5,538.0
drop_bpdiaave_zero,Black,6,507.0
