analysis,race,cluster,Gender,Race1,Education,MaritalStatus,HHIncome,HomeOwn,HealthGen,PhysActive,SmokeNow,cluster_original
baseline,White,C1,male,White,Some College,Married,25000-34999,Own,Good,No,No,C1
baseline,White,C2,male,White,High School,Married,75000-99999,Own,Good,Yes,Yes,C2
baseline,White,C3,female,White,College Grad,Married,more 99999,Own,Vgood,Yes,No,C3
baseline,White,C4,female,White,High School,Married,more 99999,Own,Good,No,Yes,C4
baseline,Black,C1,male,Black,Some College,Married,75000-99999,Own,Good,Yes,No,C1
baseline,Black,C2,male,Black,9 - 11th Grade,NeverMarried,25000-34999,Rent,Good,Yes,Yes,C2
baseline,Black,C3,female,Black,Some College,NeverMarried,10000-14999,Rent,Fair,No,Yes,C3
baseline,Black,C4,male,Black,9 - 11th Grade,Married,35000-44999,Own,Fair,No,No,C4
drop_bpdiaave_zero,White,C1,male,White,Some College,Married,25000-34999,Own,Good,No,No,C1
drop_bpdiaave_zero,White,C2,male,White,Some College,Married,more 99999,Own,Good,Yes,Yes,C2
drop_bpdiaave_zero,White,C3,female,White,College Grad,Married,more 99999,Own,Vgood,Yes,No,C3
drop_bpdiaave_zero,White,C4,female,White,High School,Married,20000-24999,Own,Fair,No,Yes,C4
drop_bpdiaave_zero,Black,C4,male,Black,Some College,Married,25000-34999,Own,Fair,No,Yes,C1
drop_bpdiaave_zero,Black,C2,male,Black,9 - 11th Grade,LivePartner,45000-54999,Rent,Fair,No,Yes,C2
drop_bpdiaave_zero,Black,C3,female,Black,High School,NeverMarried,10000-14999,Rent,Good,No,Yes,C3
drop_bpdiaave_zero,Black,C1,male,Black,High School,NeverMarried,more 99999,Own,Good,Yes,No,C4
