analysis,race,cluster,n,pct_of_race,diabetes_yes_pct,highbp_high_pct
baseline,White,C1,421,39.905213270142184,16.152019002375297,47.26840855106889
baseline,White,C2,222,21.04265402843602,7.657657657657657,33.33333333333333
baseline,White,C3,253,23.981042654028435,9.486166007905137,30.434782608695656
baseline,White,C4,159,15.071090047393366,13.20754716981132,33.33333333333333
baseline,Black,C1,69,37.5,21.73913043478261,47.82608695652174
baseline,Black,C2,44,23.91304347826087,11.363636363636363,38.63636363636363
baseline,Black,C3,42,22.82608695652174,7.142857142857142,40.476190476190474
baseline,Black,C4,29,15.760869565217392,37.93103448275862,48.275862068965516
drop_bpdiaave_zero,White,C1,457,43.441064638783274,14.87964989059081,47.04595185995623
drop_bpdiaave_zero,White,C2,194,18.44106463878327,7.216494845360824,30.927835051546392
drop_bpdiaave_zero,White,C3,243,23.098859315589355,9.876543209876543,29.218106995884774
drop_bpdiaave_zero,White,C4,158,15.019011406844108,14.556962025316455,34.810126582278485
drop_bpdiaave_zero,Black,C1,56,30.601092896174865,26.785714285714285,46.42857142857143
drop_bpdiaave_zero,Black,C2,42,22.950819672131146,16.666666666666664,45.23809523809524
drop_bpdiaave_zero,Black,C3,41,22.404371584699454,9.75609756097561,39.02439024390244
drop_bpdiaave_zero,Black,C4,44,24.043715846994534,18.181818181818183,45.45454545454545
