analysis,race,feature,coefficient,odds_ratio
baseline,White,Age,0.7590468134476867,2.1362390154307906
baseline,White,BMI,0.5123114359237687,1.6691448608725907
baseline,White,DirectChol,-0.3311106915018088,0.7181256742315835
baseline,White,TotChol,-0.2630625851238425,0.7686937870098245
baseline,White,Poverty,-0.15912455522935504,0.8528901204284214
baseline,White,Gender_male,-0.00028260999283655523,0.9997174299376058
baseline,White,HighBP_High,0.393345049779506,1.481929640616358
baseline,White,PhysActive_Yes,-0.2631397600074644,0.768634465445368
baseline,White,SmokeNow_Yes,-0.26297935431510977,0.7687577686779712
baseline,Black,Age,1.3879895515397243,4.006786512269443
baseline,Black,BMI,0.7288248111338714,2.072643428401131
baseline,Black,DirectChol,0.4133190949732022,1.511827365486514
baseline,Black,TotChol,-0.3074502631909157,0.735319439080875
baseline,Black,Poverty,-0.17945394750674273,0.8357264373430743
baseline,Black,Gender_male,0.7431339556661198,2.10251438703865
baseline,Black,HighBP_High,0.47924476867291915,1.6148543529451604
baseline,Black,PhysActive_Yes,-0.17182076364817894,0.8421300999691884
baseline,Black,SmokeNow_Yes,0.05950436203960153,1.0613103904473922
drop_bpdiaave_zero,White,Age,0.7607904161489729,2.1399670166807403
drop_bpdiaave_zero,White,BMI,0.5147342779118779,1.6731938381611617
drop_bpdiaave_zero,White,DirectChol,-0.3223188569581976,0.7244671521053532
drop_bpdiaave_zero,White,TotChol,-0.260044247963709,0.7710174690957828
drop_bpdiaave_zero,White,Poverty,-0.15730835447298788,0.8544405476275828
drop_bpdiaave_zero,White,Gender_male,0.019607899349636564,1.019801396831947
drop_bpdiaave_zero,White,HighBP_High,0.37838433012530404,1.4599239278132965
drop_bpdiaave_zero,White,PhysActive_Yes,-0.25533826491533096,0.7746544152267055
drop_bpdiaave_zero,White,SmokeNow_Yes,-0.24157011960429056,0.7853937303605589
drop_bpdiaave_zero,Black,Age,1.3896114472637755,4.013290375048769
drop_bpdiaave_zero,Black,BMI,0.7238828840851674,2.0624258438537466
drop_bpdiaave_zero,Black,DirectChol,0.40831325075737185,1.5042783036913128
drop_bpdiaave_zero,Black,TotChol,-0.3069653827756421,0.7356760675299433
drop_bpdiaave_zero,Black,Poverty,-0.17856798111339653,0.8364671909735486
drop_bpdiaave_zero,Black,Gender_male,0.7336882813281266,2.082748220197672
drop_bpdiaave_zero,Black,HighBP_High,0.4706803827351989,1.601083172062037
drop_bpdiaave_zero,Black,PhysActive_Yes,-0.176232302337104,0.8384231930456033
drop_bpdiaave_zero,Black,SmokeNow_Yes,0.062449376023022675,1.064440571338892
