variable,count,mean,std,min,q1,median,q3,max
Age,2412.0,48.702,16.417,20.0,35.0,49.0,61.0,80.0
Poverty,2412.0,2.872,1.637,0.0,1.31,2.75,4.76,5.0
Weight,2412.0,83.653,20.529,39.1,68.4,81.3,96.6,223.0
Height,2412.0,170.898,9.385,141.2,164.3,171.1,177.4,200.4
BMI,2412.0,28.562,6.345,15.02,24.0,27.54,32.0,67.83
Pulse,2412.0,72.701,11.97,44.0,64.0,72.0,80.0,122.0
BPSysAve,2412.0,122.133,17.412,78.0,111.0,120.0,131.0,217.0
BPDiaAve,2412.0,70.571,12.607,0.0,64.0,71.0,78.0,116.0
DirectChol,2412.0,1.354,0.431,0.39,1.052,1.29,1.6,3.83
TotChol,2412.0,5.072,1.089,1.53,4.27,4.99,5.72,13.65
AlcoholYear,2412.0,92.177,115.872,0.0,3.0,36.0,156.0,364.0
SleepHrsNight,2412.0,6.759,1.41,2.0,6.0,7.0,8.0,12.0
