metric,All,White,Black
n,"2,412","1,846",213
Age median [IQR],"49.00 [35.00, 61.00]","50.00 [37.00, 63.00]","47.00 [30.00, 59.00]"
BMI median [IQR],"27.54 [24.00, 32.00]","27.37 [23.80, 31.79]","28.60 [24.48, 34.80]"
BPSysAve median [IQR],"120.00 [111.00, 131.00]","120.00 [111.00, 131.00]","122.00 [112.00, 133.00]"
BPDiaAve median [IQR],"71.00 [64.00, 78.00]","72.00 [64.00, 78.00]","71.00 [64.00, 79.00]"
TotChol median [IQR],"4.99 [4.27, 5.72]","5.07 [4.33, 5.79]","4.60 [3.96, 5.38]"
Poverty median [IQR],"2.75 [1.31, 4.76]","3.16 [1.61, 5.00]","1.74 [1.02, 3.40]"
Diabetes Yes (%),12.0,11.2,17.8
HighBP High (%),37.5,38.1,41.8
College graduate (%),22.6,25.4,8.0
Household income $75k+ (%),32.7,36.6,16.9
Physically active Yes (%),49.5,49.7,47.4
Smoke now Yes (%),44.8,40.5,62.4
