race,feature,coefficient,odds_ratio,absolute_coefficient,absolute_coefficient_rank
Black,Age,1.388,4.0068,1.388,1
Black,Gender_male,0.7431,2.1025,0.7431,2
Black,BMI,0.7288,2.0726,0.7288,3
Black,HighBP_High,0.4792,1.6149,0.4792,4
Black,DirectChol,0.4133,1.5118,0.4133,5
Black,TotChol,-0.3075,0.7353,0.3075,6
Black,Poverty,-0.1795,0.8357,0.1795,7
Black,PhysActive_Yes,-0.1718,0.8421,0.1718,8
Black,SmokeNow_Yes,0.0595,1.0613,0.0595,9
White,Age,0.759,2.1362,0.759,1
White,BMI,0.5123,1.6691,0.5123,2
White,HighBP_High,0.3933,1.4819,0.3933,3
White,DirectChol,-0.3311,0.7181,0.3311,4
White,TotChol,-0.2631,0.7687,0.2631,5
White,PhysActive_Yes,-0.2631,0.7686,0.2631,6
White,SmokeNow_Yes,-0.263,0.7688,0.263,7
White,Poverty,-0.1591,0.8529,0.1591,8
White,Gender_male,-0.0003,0.9997,0.0003,9
