,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Age,-0.088,0.415,0.211,-0.52,-0.073,-0.016,0.143,0.027,0.443,0.062,-0.527,-0.002
Poverty,-0.119,0.298,0.454,0.178,0.134,-0.237,-0.293,0.637,0.079,-0.149,0.252,-0.009
Weight,0.588,0.161,0.193,0.036,0.103,-0.137,0.079,-0.082,-0.109,0.195,0.005,0.705
Height,0.249,0.081,0.33,0.543,-0.318,0.238,-0.027,-0.176,0.32,0.363,-0.047,-0.32
BMI,0.531,0.131,0.046,-0.234,0.275,-0.271,0.107,-0.015,-0.286,0.03,0.027,-0.633
Pulse,0.135,0.028,-0.451,0.243,0.491,0.126,0.361,0.32,0.474,0.061,0.027,-0.001
BPSysAve,0.025,0.511,-0.221,-0.249,-0.339,0.275,0.157,0.001,-0.006,0.064,0.639,-0.002
BPDiaAve,0.126,0.411,-0.377,0.28,-0.199,0.197,-0.186,0.253,-0.389,-0.171,-0.487,-0.001
DirectChol,-0.439,0.176,-0.042,0.109,0.123,-0.237,0.213,0.053,-0.335,0.726,-0.057,-0.003
TotChol,-0.074,0.344,-0.3,0.125,0.203,-0.383,-0.521,-0.485,0.264,-0.008,0.077,-0.0
AlcoholYear,-0.219,0.308,0.254,0.326,0.156,-0.05,0.534,-0.357,-0.135,-0.478,-0.003,0.004
SleepHrsNight,-0.083,0.117,0.223,-0.12,0.56,0.678,-0.288,-0.153,-0.161,0.1,0.006,0.0
