,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Age,-0.086,0.443,0.066,0.538,-0.09,-0.067,-0.105,0.064,-0.397,0.051,-0.56,-0.003
Poverty,-0.111,0.27,0.481,-0.007,0.242,-0.257,0.301,0.622,0.063,-0.161,0.228,-0.007
Weight,0.599,0.135,0.206,0.018,0.134,-0.111,-0.066,-0.131,0.075,0.189,0.006,0.698
Height,0.202,0.058,0.514,-0.435,-0.276,0.178,0.052,-0.085,-0.36,0.387,-0.048,-0.321
BMI,0.552,0.111,-0.035,0.234,0.285,-0.208,-0.104,-0.11,0.262,0.009,0.028,-0.641
Pulse,0.172,0.018,-0.408,-0.297,0.385,0.127,-0.366,0.476,-0.426,0.09,0.011,-0.0
BPSysAve,0.032,0.537,-0.198,0.152,-0.426,0.16,-0.179,0.03,-0.002,0.065,0.636,-0.003
BPDiaAve,0.156,0.388,-0.238,-0.409,-0.247,0.168,0.176,0.203,0.45,-0.156,-0.462,-0.001
DirectChol,-0.418,0.195,-0.037,-0.115,0.213,-0.238,-0.206,-0.046,0.35,0.708,-0.053,-0.001
TotChol,-0.044,0.331,-0.311,-0.217,0.26,-0.258,0.568,-0.404,-0.338,-0.021,0.098,-0.001
AlcoholYear,-0.2,0.303,0.289,-0.298,0.227,-0.016,-0.525,-0.359,0.009,-0.489,-0.009,0.004
SleepHrsNight,-0.07,0.137,0.113,0.195,0.45,0.805,0.208,-0.097,0.114,0.094,0.029,-0.0
