,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Age,-0.153,0.552,-0.084,-0.22,-0.029,-0.131,0.044,-0.12,0.505,0.158,-0.55,-0.002
Poverty,-0.114,0.117,0.038,-0.443,0.577,0.232,0.557,-0.055,-0.234,-0.14,0.037,-0.015
Weight,0.58,0.039,0.048,-0.181,0.288,-0.108,-0.224,-0.033,0.104,0.045,0.048,0.683
Height,0.004,-0.299,0.381,-0.49,0.015,0.082,-0.238,0.333,0.473,-0.219,0.097,-0.263
BMI,0.579,0.144,-0.09,0.014,0.271,-0.129,-0.155,-0.171,-0.083,0.145,0.001,-0.681
Pulse,0.264,0.077,0.204,0.53,0.054,-0.008,0.535,0.119,0.472,-0.234,0.142,-0.011
BPSysAve,-0.086,0.575,0.226,-0.103,-0.195,0.18,-0.11,-0.147,0.038,0.17,0.682,-0.0
BPDiaAve,0.143,0.203,0.563,0.09,-0.171,0.26,-0.149,-0.222,-0.312,-0.444,-0.388,0.008
DirectChol,-0.354,-0.021,0.113,0.116,0.349,-0.587,-0.212,-0.405,0.079,-0.368,0.174,-0.005
TotChol,-0.188,0.294,0.231,0.279,0.398,-0.101,-0.231,0.67,-0.196,0.172,-0.091,-0.001
AlcoholYear,-0.138,-0.322,0.458,0.171,0.229,0.201,0.007,-0.362,0.138,0.621,-0.098,0.015
SleepHrsNight,-0.119,0.03,-0.388,0.25,0.327,0.632,-0.371,-0.108,0.252,-0.231,0.013,0.004
