,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Age,-0.043,0.452,-0.214,-0.483,0.1,-0.064,0.137,0.061,0.4,0.07,-0.56,-0.003
Poverty,-0.087,0.307,-0.386,0.25,-0.229,-0.306,-0.176,0.656,0.055,-0.155,0.229,-0.005
Weight,0.607,0.128,-0.178,0.051,-0.116,-0.085,0.045,-0.105,-0.132,0.203,-0.003,0.699
Height,0.24,0.049,-0.263,0.609,0.299,0.121,0.05,-0.114,0.331,0.39,-0.077,-0.335
BMI,0.545,0.107,-0.055,-0.268,-0.291,-0.159,0.031,-0.065,-0.318,0.018,0.041,-0.631
Pulse,0.14,-0.048,0.433,0.096,-0.46,0.257,0.512,0.346,0.339,0.087,0.006,0.003
BPSysAve,0.058,0.496,0.213,-0.205,0.47,0.143,0.18,0.065,-0.007,0.084,0.615,-0.002
BPDiaAve,0.157,0.321,0.45,0.306,0.226,0.134,-0.201,0.25,-0.364,-0.217,-0.474,-0.006
DirectChol,-0.428,0.221,0.085,0.074,-0.205,-0.172,0.129,-0.028,-0.414,0.699,-0.081,-0.001
TotChol,0.012,0.286,0.426,0.099,-0.274,-0.33,-0.471,-0.364,0.418,0.026,0.117,0.001
AlcoholYear,-0.181,0.384,-0.183,0.302,-0.212,0.039,0.447,-0.463,-0.123,-0.468,0.005,0.003
SleepHrsNight,-0.062,0.206,-0.209,-0.088,-0.323,0.781,-0.414,-0.05,-0.033,0.092,0.062,-0.003
